Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
9/27/06,49.9,-125,45,50,90,123,55.81,49.9,1335.85
9/20/06,78,20,50,82.5,100,150,31.26,78,1314.78
9/13/06,45.8,-100,15,50,85,150,56.23,45.8,1319.66
9/6/06,49.38,-70,50,60,90,100,50.37,49.38,1298.92
8/30/06,42.1,-60,0,50,75,100,45.17,42.1,1311.01
8/23/06,42.1,-60,0,50,75,100,45.17,42.1,1295.09
8/16/06,38.6,-100,0,50,75,150,56.52,38.6,1302.3
8/9/06,45.02,-100,31.25,50,58.75,150,47.48,45.02,1266.74
8/2/06,44.23,-50,21.25,50,53.75,175,43.69,44.23,1279.36
7/26/06,17.38,-50,0,15,50,100,33.78,17.38,1278.55
7/19/06,18.76,-100,0,25,50,100,38.17,18.76,1240.29
7/12/06,31.2,-50,0,25,50,150,47.84,31.2,1236.2
7/5/06,19.44,-100,0,20,50,100,55.55,19.44,1265.48
1/1/70,0,0,0,0,0,0,0,0,0
1/1/70,76.36,0,50,77.5,100,200,40.45,76.36,2813.36
1/1/70,0,0,0,0,0,0,0,0,0
1/1/70,0,0,0,0,0,0,0,0,0
